Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
368.9,159.82,84.48,4.5,155.32,79.98,0.288246,0.288246
369.5,159.54,84.58,4.7,154.84,79.88,0.287445,0.287445
370,159.12,83.96,4.44,154.68,79.52,0.288958,0.288958
370.5,159.92,84.16,4.58,155.34,79.58,0.290479,0.290479
371,159.78,83.72,4.64,155.14,79.08,0.292657,0.292657
371.6,159.5,83.74,4.56,154.94,79.18,0.291548,0.291548
372.1,159.28,83.5,4.32,154.96,79.18,0.291604,0.291604
372.6,159.84,83.4,4.44,155.4,78.96,0.294044,0.294044
373.1,160.04,83.4,4.8,155.24,78.6,0.295581,0.295581
373.7,159.7,83.4,4.82,154.88,78.58,0.294683,0.294683
374.2,159.22,82.46,4.32,154.9,78.14,0.297178,0.297178
374.7,159.9,82.22,4.4,155.5,77.82,0.300639,0.300639
375.3,160.16,82.66,4.52,155.64,78.14,0.299248,0.299248
375.8,159.76,82.5,4.64,155.12,77.86,0.299353,0.299353
376.3,159.46,81.88,4.48,154.98,77.4,0.301535,0.301535
376.8,160.32,82.3,4.72,155.6,77.58,0.30226,0.30226
377.4,160.9,82.5,4.96,155.94,77.54,0.303432,0.303432
377.9,160.16,81.8,4.9,155.26,76.9,0.305133,0.305133
378.4,159.8,80.8,4.5,155.3,76.3,0.308647,0.308647
378.9,160.38,81.14,4.72,155.66,76.42,0.30897,0.30897
379.5,160.72,81.28,4.66,156.06,76.62,0.308949,0.308949
380,160.44,80.8,4.56,155.88,76.24,0.310608,0.310608
380.5,159.56,79.72,4.16,155.4,75.56,0.313159,0.313159
381.1,160,80.18,4.36,155.64,75.82,0.312337,0.312337
381.6,160.06,79.8,4.18,155.88,75.62,0.314154,0.314154
382.1,159.7,79.42,4.24,155.46,75.18,0.315516,0.315516
382.6,159.28,78.36,3.9,155.38,74.46,0.319472,0.319472
383.2,159.74,78.62,4.1,155.64,74.52,0.319848,0.319848
383.7,159.92,78.6,4.1,155.82,74.5,0.320467,0.320467
384.2,159.58,78.48,4.26,155.32,74.22,0.320706,0.320706
384.7,158.92,77.54,4.02,154.9,73.52,0.323646,0.323646
385.3,159.22,77.56,4.24,154.98,73.32,0.325053,0.325053
385.8,159.1,77.38,4.38,154.72,73,0.326224,0.326224
