Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
373.1,160.04,90.36,4.8,155.24,85.56,0.258733,0.258733
373.7,159.7,90.18,4.82,154.88,85.36,0.258741,0.258741
374.2,159.22,89.3,4.32,154.9,84.98,0.260735,0.260735
374.7,159.9,89.14,4.4,155.5,84.74,0.263642,0.263642
375.3,160.16,88.64,4.52,155.64,84.12,0.267222,0.267222
375.8,159.76,88.9,4.64,155.12,84.26,0.265046,0.265046
376.3,159.46,88.44,4.48,154.98,83.96,0.266203,0.266203
376.8,160.32,88.96,4.72,155.6,84.24,0.266491,0.266491
377.4,160.9,88.92,4.96,155.94,83.96,0.268885,0.268885
377.9,160.16,88.24,4.9,155.26,83.34,0.270206,0.270206
378.4,159.8,87.54,4.5,155.3,83.04,0.271884,0.271884
378.9,160.38,87.58,4.72,155.66,82.86,0.273832,0.273832
379.5,160.72,87.82,4.66,156.06,83.16,0.273377,0.273377
380,160.44,87.3,4.56,155.88,82.74,0.275075,0.275075
380.5,159.56,86.38,4.16,155.4,82.22,0.276474,0.276474
381.1,160,86.76,4.36,155.64,82.4,0.276194,0.276194
381.6,160.06,86.38,4.18,155.88,82.2,0.277919,0.277919
382.1,159.7,85.52,4.24,155.46,81.28,0.281635,0.281635
382.6,159.28,84.8,3.9,155.38,80.9,0.283447,0.283447
383.2,159.74,84.78,4.1,155.64,80.68,0.285355,0.285355
383.7,159.92,84.78,4.1,155.82,80.68,0.285857,0.285857
384.2,159.58,84.32,4.26,155.32,80.06,0.287812,0.287812
384.7,158.92,82.98,4.02,154.9,78.96,0.292644,0.292644
385.3,159.22,83.08,4.24,154.98,78.84,0.293529,0.293529
385.8,159.1,82.98,4.38,154.72,78.6,0.294124,0.294124
386.3,158.58,82.58,4.44,154.14,78.14,0.295042,0.295042
386.9,158.1,81.48,4.3,153.8,77.18,0.299452,0.299452
387.4,158.7,81.56,4.46,154.24,77.1,0.301143,0.301143
387.9,158.7,81.64,4.36,154.34,77.28,0.300411,0.300411
388.4,158.06,81.22,4.38,153.68,76.84,0.30103,0.30103
389,157.36,80.32,4.06,153.3,76.26,0.303245,0.303245
389.5,157.74,80.24,4.22,153.52,76.02,0.305237,0.305237
390,157.54,79.98,4.26,153.28,75.72,0.306275,0.306275
390.5,156.82,79.66,4.34,152.48,75.32,0.306303,0.306303
391.1,156.48,79.04,4.26,152.22,74.78,0.308686,0.308686
391.6,157.14,79.34,4.4,152.74,74.94,0.309239,0.309239
392.1,157.14,79.12,4.32,152.82,74.8,0.310279,0.310279
392.7,156.66,78.68,4.44,152.22,74.24,0.311834,0.311834
393.2,156.02,78.12,4.12,151.9,74,0.312326,0.312326
393.7,156.2,78.18,4.3,151.9,73.88,0.313031,0.313031
394.2,156.24,77.96,4.26,151.98,73.7,0.314319,0.314319
394.8,155.82,77.2,4.28,151.54,72.92,0.317681,0.317681
395.3,155.5,76.56,3.96,151.54,72.6,0.319591,0.319591
395.8,156.46,77.02,4.26,152.2,72.76,0.320522,0.320522
396.3,156.3,76.86,4.24,152.06,72.62,0.320959,0.320959
396.9,155.74,76.52,4.22,151.52,72.3,0.321332,0.321332
397.4,155.42,75.16,4.08,151.34,71.08,0.328206,0.328206
397.9,155.92,74.96,4.14,151.78,70.82,0.331059,0.331059
398.5,156.48,75.14,4.28,152.2,70.86,0.332014,0.332014
399,156.58,74.88,4.32,152.26,70.56,0.334027,0.334027
399.5,156.66,73.86,4.1,152.56,69.76,0.339834,0.339834
400,157.3,73.82,4.2,153.1,69.62,0.342241,0.342241
400.6,157.84,73.36,4.36,153.48,69,0.347203,0.347203
401.1,157.9,72.88,4.38,153.52,68.5,0.350474,0.350474
401.6,158.16,71.9,4.14,154.02,67.76,0.356604,0.356604
402.1,159.44,72.12,4.28,155.16,67.84,0.359294,0.359294
402.7,160.32,71.94,4.12,156.2,67.82,0.362323,0.362323
403.2,160.72,71.68,4.18,156.54,67.5,0.365322,0.365322
403.7,160.98,70.66,3.78,157.2,66.88,0.371156,0.371156
404.3,162.7,70.86,4,158.7,66.86,0.375411,0.375411
404.8,163.92,70.68,3.94,159.98,66.74,0.379679,0.379679
405.3,164.72,70.2,3.92,160.8,66.28,0.384904,0.384904
405.8,165.32,68.92,3.62,161.7,65.3,0.393797,0.393797
406.4,167.22,68.98,3.88,163.34,65.1,0.399512,0.399512
406.9,168.98,68.76,3.8,165.18,64.96,0.405311,0.405311
407.4,170.3,68.9,3.98,166.32,64.92,0.408566,0.408566
407.9,171.3,68.14,3.78,167.52,64.36,0.415451,0.415451
408.5,173.52,68.14,3.94,169.58,64.2,0.42184,0.42184
409,175.28,68.02,4,171.28,64.02,0.427391,0.427391
409.5,176.68,67.58,4.14,172.54,63.44,0.434527,0.434527
410,177.74,67.06,4.06,173.68,63,0.440409,0.440409
410.6,180.18,67.44,4.2,175.98,63.24,0.444471,0.444471
411.1,181.96,67.36,4.36,177.6,63,0.450102,0.450102
411.6,183.02,67.02,4.42,178.6,62.6,0.455307,0.455307
412.2,183.78,66.28,4.14,179.64,62.14,0.461032,0.461032
412.7,185.7,66.46,4.3,181.4,62.16,0.465126,0.465126
413.2,187.18,65.84,4.22,182.96,61.62,0.472634,0.472634
413.7,188,65.76,4.32,183.68,61.44,0.475611,0.475611
414.3,188.66,65.06,3.98,184.68,61.08,0.480521,0.480521
